occupation,translated_occupation,label
7er-Rugbyspieler,7-a-side rugby player,Sports
Äbtissin,Abbess,Religion & Philosophy
Akademischer Rat,Academic Council,Academics & Humanities
wissenschaftlicher Bibliothekar,academic librarian,Academics & Humanities
akademischer Musiker,academic musician,Academics & Humanities
akademischer Lehrkörper,Academic teaching staff,Academics & Humanities
Akademiker,Academics,Academics & Humanities
Acarologe,Acarologist,STEM
Akkordeonist,Accordionist,Arts & Culture
Buchhalter,Accountant,Business & Economics
Kontorist,Accountant,Business & Economics
Fliegerass,Ace pilot,Governance & Society
Akustiker,Acoustician,Arts & Culture
Akrobat,Acrobat,Sports
Schauspiel-Coach,Acting coach,Sports
Action Choreograf,Action Choreographer,Arts & Culture
Aktivist,Activist,Governance & Society
Schauspieler,Actors,Arts & Culture
Darsteller,Actors,Arts & Culture
Schauspieler und Musiker…,Actors and musicians...,Arts & Culture
Aktuar,Actuary,Unconventional & Misc
Verwaltungsfachangestellter,Administrative assistant,Business & Economics
Verwaltungsjurist,Administrative lawyer,Law
Verwaltungsbeamter,Administrative officer,Governance & Society
Verwaltungswissenschaftler,Administrative scientist,STEM
Verwaltungsfachwirt,Administrative specialist,STEM
Administrator,Administrator,Business & Economics
Verwaltungswirt,Administrator,Business & Economics
Admiral,Admiral,Governance & Society
Erwachsenenbildner,Adult educator,Academics & Humanities
Abenteurer,Adventurer,Academics & Humanities
Werbefachmann,Advertising expert,Business & Economics
Werbeleiter,Advertising manager,Business & Economics
Advokat,Advocate,Law
Aeronautik,Aeronautics,STEM
Luft- und Raumfahrtingenieur,Aerospace engineer,STEM
Ästhetiker,Aesthetician,Health & Medicine
Afrikanist,Africanist,Academics & Humanities
Agent,Agent,Governance & Society
Agrarbiologe,Agricultural biologist,STEM
Agrikulturchemiker,Agricultural chemist,STEM
Agrarökonom,Agricultural economist,"Business & Economics, Academics & Humanities"
Agraringenieur,Agricultural engineer,STEM
Agrarhistoriker,Agricultural historian,Academics & Humanities
Landmaschinenmechaniker,Agricultural machinery mechanic,STEM
